 ---------------
 UTC-TAI.history
 ---------------
 RELATIONSHIP BETWEEN TAI AND UTC, UNTIL 27 DECEMBER 2005
 ------------------------------------------------------------------------------- 
 validity since(at 0h UTC)  TAI - UTC 
 1972 01 01 41317.00    10s
 1972 07 01 41499.00    11s
 1973 01 01 41683.00    12s
 1974 01 01 42048.00    13s
 1975 01 01 42413.00    14s
 1976 01 01 42778.00    15s
 1977 01 01 43144.00    16s
 1978 01 01 43509.00    17s
 1979 01 01 43874.00    18s
 1980 01 01 44239.00    19s
 1981 07 01 44786.00    20s
 1982 07 01 45151.00    21s
 1983 07 01 45516.00    22s
 1985 07 01 46247.00    23s
 1988 01 01 47161.00    24s
 1990 01 01 47892.00    25s
 1991 01 01 48257.00    26s
 1992 07 01 48804.00    27s
 1993 07 01 49169.00    28s
 1994 07 01 49534.00    29s
 1996 01 01 50083.00    30s
 1997 07 01 50630.00    31s
 1999 01 01 51179.00    32s
 2006 01 01 53736.00    33s
 2009 01 01 54832.00    34s
 2012 07 01 56109.00    35s 
 2015 07 01 57204.00    36s
 2017 01 01 57754.00    37s 
